Creative+Commons++reshare,Adit+Bharadwaj,male,1,
Creative+Commons++reshare,Kelsey+Wiens,unknown,2,
Creative+Commons++reshare,Jane+Park,female,3,
Creative+Commons++reshare,Simeon+Oriko,male,2,
ODI+OsakaMozilla+Factory,Iwao+Kobayashi,male,1,
ODI+OsakaMozilla+Factory,Harry+Vermeulen,male,2,
ODI+OsakaMozilla+Factory,Toru+Takahashi,male,2,
ODI+OsakaMozilla+Factory,Hideaki+Takeda,unknown,1,
ODI+OsakaMozilla+Factory,Machi+Takahashi,male,2,
Open+Labs,Redon+Skikuli,unknown,1,
Open+Labs,Elio+Qoshi,male,1,
Community+Engagement+at+Ushahidi,Linda+Kamau,female,1,
Community+Engagement+at+Ushahidi,Angela+Oduor,female,1,
Community+Engagement+at+Ushahidi,Henry+Addo,male,1,
Community+Engagement+at+Ushahidi,Woody+Gilk,male,1,
GitHub+Inc,Arfon+Smith,unknown,2,
GitHub+Inc,Andrew+Nesbitt,male,1,
GitHub+Inc,Jessica+Lord,female,2,
GitHub+Inc,Chrissie+Brodigan,female,2,
Public+Good+Software+Inc,Natalie+J+Stroud,female,1,
Public+Good+Software+Inc,Dan+Ratner,male,1,
Digital+Technology+Fellow+POVAmerican+Documentary,Gilles+Pradeau+awaiting+definite+confirmation,male,1,
Digital+Technology+Fellow+POVAmerican+Documentary,Brian+Chirls,male,1,
Tor,Amogh+Pradeep,male,1,
Tor,Dave+Huseby,male,1,
Knight+Mozilla+OpenNews,Ben+Chartoff,male,1,
SocialCoding4good,Emma+Irwin,female,3,
iRights,Baroness+Kidron+,unknown,2,
iRights,Glenn+Manoff,male,2,
iRights,Perhaps+one+or+two+others+such+as+Martha+Lane+Fox+tbc,unknown,2,
iRights,This+session+would+most+likely+be+facilitated+by,unknown,2,
iRights,Will+Hawkins,unknown,1,
iRights,Glenn+Manoff+per+above,male,2,
Web+Foundation++Web+We+Want+General+Coordinator,Alina+Hua,female,3,
Web+Foundation++Web+We+Want+General+Coordinator,Renata+Avila,female,3,
Web+Foundation++Web+We+Want+General+Coordinator,Dave+Steers,male,3,
Observadorpt,Milton+Cappelletti+Junior,male,1,
OpenNews,Ryan+Pitts,unknown,1,
OpenNews,Erika+Owens,female,1,
OpenNews,Erin+Kissane,unknown,2,
OpenNews,Tomas+Poska,male,1,
OpenNews,Dan+Sinker,male,2,
Internews,Eva+Constantaras,female,1,
indie,Aral+Balkan,unknown,1,
Privacy+InternationalOpen+Technology+Institute,Kevin+Bankston+,male,1,
Privacy+InternationalOpen+Technology+Institute,Mustafa+AlBassam+,male,1,
Privacy+InternationalOpen+Technology+Institute,Richard+Tynan+,male,1,
IPython++Jupyter+Projects,Matthias+Bussonnier,male,1,
IPython++Jupyter+Projects,Kyle+Kelley,unknown,1,
Tripad,Tripad+Mishra,unknown,2,
Mozilla+DevelopersMozilla+Reps+webmaker,Biraj+Karmakar,unknown,2,
Open+Knowledge+School+of+Data,Milena+Marin,female,2,
Open+Knowledge+School+of+Data,Yuandra+Ismiraldi,unknown,2,
Tow+Center+for+Digital+Journalism+Columbia+University,Michael+Keller,male,1,
Tow+Center+for+Digital+Journalism+Columbia+University,Brian+Abelson+,male,1,
University+of+Central+Lancashire,Mark+Porter,male,1,
University+of+Central+Lancashire,Megan+Knight,female,1,
Parsons+The+New+School+for+Design+Local+No+12,Nancy+Nowaceck,female,1,
Parsons+The+New+School+for+Design+Local+No+12,John+Sharp,male,1,
Smart+Chicago+Collaborative,Kyla+Williams,female,1,
Cybersalon,Phil+Campbell,male,1,
Cybersalon,simonsMine,unknown,1,
Cybersalon,evapascoe,unknown,1,
Cybersalon,cybrsalon,unknown,1,
Centre+for+Interdisciplinary+Research+CRI,Jesse+Himmelstein,unknown,1,
Happyworm+Ltd,Mark+Panaghiston,male,1,
Happyworm+Ltd,Ian+Forrester,male,1,
Happyworm+Ltd,Camille+Teicheira+ok+cool,unknown,1,
Jawaharlal+archietecture+and+fine+arts+university,UDeepak,unknown,1,
Jawaharlal+archietecture+and+fine+arts+university,deepthi+u,female,1,
Flow+Athens,Themis+Gkion,unknown,2,
SimpleTechLifein,Praveen+selvasekaran,male,1,
The+BradField+Company+Ltd,Laura+Fleming,female,1,
The+BradField+Company+Ltd,Bill+Boyd,male,1,
The+BradField+Company+Ltd,Ian+Harper,male,1,
The+BradField+Company+Ltd,Andy+Campbell,unknown,1,
The+BradField+Company+Ltd,Chris+Joseph,unknown,1,
Open+State+Foundation,Lex+Slaghuis,male,1,
ManiThripuradhi,Maniraj+Thripuradhi,unknown,1,
aktiwate,Gautam+Akiwate,male,2,
Rhizome,Scott+Meisburger,male,1,
The+Code+Liberation+Foundation,Phoenix+Perry,unknown,1,
Student+at+AGH+UST+Kraków+Poland,Greg+Wilson,male,1,
Student+at+AGH+UST+Kraków+Poland,Piotr+Banaszkiewicz,male,1,
Student+at+AGH+UST+Kraków+Poland,Mike+Hoye,male,1,
MakerKids,Jennifer+Turliuk,female,1,
Fight+For+the+Future,Tiffiniy+Cheng,unknown,1,
Manufactura+Independente,Ricardo+Lafuente,male,1,
Manufactura+Independente,Ana+Isabel+Carvalho,female,1,
santoshv225,Santosh+Viswanatham,male,3,
Mozilla+Corporation,Edwin+Wong,male,1,
Mozilla+Corporation,I+am+totally+open+to+having+people+join+on+as+facilitators,unknown,1,
Mozilla+Corporation,Jonathan+Lin,male,1,
Why+The+explorable+story,Martha+Sedgwick,female,1,
kaeti,Kaeti+Hinck,unknown,1,
nagasahas,Nagasahas+Dasa,unknown,1,
Mozilla+Foundation+Mozillan,Kumaresan+C+S,unknown,1,
